,Profanity classifier
anal,94.00%
anus,91.80%
arse,92.20%
ass,96.30%
ass fuck,96.40%
ass hole,96.30%
assfucker,97.00%
asshole,98.70%
assshole,91.40%
bitch,94.60%
black cock,42.30%
bloody hell,96.40%
boong,
cock,
cockfucker,
cocksuck,
cocksucker,
coon,
coonnass,
cunt,
cyberfuck,
damn,
darn,
dick,
douche,
erect,
erection,
erotic,
escort,
fag,
faggot,
fuck,
Fuck off,
fuck you,
fuckass,
fuckhole,
god damn,
gook,
hardcore,
homoerotic,
mother fucker,
motherfuck,
motherfucker,
negro,
nigger,
orgasim,
penis,
penisfucker,
piss,
piss off,
porn,
porno,
pornography,
pussy,
sadist,
sex,
sexy,
shit,
slut,
son of a bitch,
suck,
tits,
viagra,
whore,
xxx,
